filename,Acoustic_Complexity_Index__main_value,Acoustic_Complexity_Index__min,Acoustic_Complexity_Index__max,Acoustic_Complexity_Index__mean,Acoustic_Complexity_Index__median,Acoustic_Complexity_Index__std,Acoustic_Complexity_Index__var,Acoustic_Diversity_Index__main_value,Acoustic_Evenness_Index__main_value,Bio_acoustic_Index__main_value,Normalized_Difference_Sound_Index__main_value,RMS_energy__min,RMS_energy__max,RMS_energy__mean,RMS_energy__median,RMS_energy__std,RMS_energy__var,Spectral_centroid__min,Spectral_centroid__max,Spectral_centroid__mean,Spectral_centroid__median,Spectral_centroid__std,Spectral_centroid__var,Spectral_Entropy__main_value,Temporal_Entropy__main_value,ZCR__min,ZCR__max,ZCR__mean,ZCR__median,ZCR__std,ZCR__var,Wave_SNR__SNR,Wave_SNR__Acoustic_activity,Wave_SNR__Count_acoustic_events,Wave_SNR__Average_duration,NB_peaks__main_value,Acoustic_Diversity_Index_NR__main_value,Acoustic_Evenness_Index_NR__main_value,Bio_acoustic_Index_NR__main_value,Spectral_Entropy_NR__main_value
20200423_043000.WAV,1880.7922959007944,150.97342528150577,162.8002050860611,156.7326913250662,157.09893740141854,4.807766477833408,23.114618505378655,2.2435872227039586,0.18564513879202132,5.87991156120609,0.17994936746510026,0.011813135895933961,0.2293208316203347,0.03290034709577802,0.019754152443210646,0.03306871729978902,0.0010935400638533654,5877.02546041568,19224.585735511806,10183.885674173616,8131.266511409131,3657.7013440084697,13378779.121961365,0.926615225114748,0.9688804475256922,0.083984375,0.849609375,0.36995128733665217,0.2265625,0.23665493115593556,0.0560055564404206,22.581281818581846,0.3194666666666667,211,0.0908436018957346,8,2.082813254136497,0.3566627455361543,5.474302818721089,0.8686659521263982
20200502_120000.WAV,1795.2281187737178,149.18603850458788,150.27800147854836,149.60234323114312,149.54527633716128,0.37484371112678505,0.14050780777130067,2.2999701861617954,0.02464654631150722,4.366671543472126,0.1720313633436718,0.07666816954726652,0.19400131970706677,0.10752405622087853,0.10681257733179263,0.01051499599738894,0.00011056514082510542,5427.640555232991,12577.97252854983,7034.03364297097,6996.708729968582,527.3558549430822,278104.19774274924,0.9259305546789427,0.9907379814140764,0.09375,0.669921875,0.1752648846564139,0.171875,0.03656921523899779,0.001337307503196148,6.475438496088962,0.012622222222222222,51,0.01484967320261438,6,2.299827887761026,0.041469074798672345,3.6340911771223636,0.9205316884363032
20200411_233000.WAV,1850.6287042430338,152.11850366782917,156.489781923866,154.21905868691948,153.9112530164224,1.4011287398365198,1.9631617455958736,2.2997740775615734,0.02967322487752231,5.2817250297524305,0.03772950570231613,0.020596582370261223,0.11264880936300004,0.031009425060216384,0.02923596589561467,0.006276307766288782,3.9392039177176875e-05,6125.263102107866,15355.596471394594,9441.176707778024,9010.087246890818,1715.608725542211,2943313.29915657,0.9550307146432895,0.9896589211182371,0.111328125,0.744140625,0.3166465491377011,0.279296875,0.12103304071381547,0.014648996944432113,18.029114306177178,0.11928888888888889,297,0.024098765432098764,6,2.2958542840930325,0.0652256600560932,4.513181639743475,0.9585469478051714
20200310_140000.WAV,1797.657115071933,148.961302829769,150.35507214769078,149.80475958932774,149.9368095521595,0.45765001197061606,0.209443533456705,2.300458083907767,0.028758324636620536,2.2443684601315286,0.6391903861189787,0.005994786738227398,0.021109689134073628,0.008446944776202843,0.008302438468406509,0.0009857396196208293,9.71682597690217e-07,7676.128223576844,12733.145213722164,10774.20849489244,10801.647740448305,558.157975270112,311540.32535763097,0.9757803514856686,0.9904427909372836,0.076171875,0.5234375,0.3681894987887812,0.373046875,0.05088374096826964,0.0025891550949259626,6.142572606281291,0.012444444444444444,61,0.012240437158469945,7,2.2969990914741656,0.05879339400067405,3.020693920680999,0.9639522137775379
20200311_113000.WAV,1796.5789322287687,148.75929342148447,150.5140583985041,149.7149110190641,149.66039128967282,0.4940512124946952,0.24408660056747844,2.3003391491804224,0.020272328901092783,2.0120285854618505,0.6242940844930405,0.05954338762168216,0.11205152100528702,0.08222186661192056,0.08193790305951927,0.005820267815358859,3.3875517442502186e-05,9294.006510429514,12746.584037488687,11147.728860422401,11150.442886113582,467.0073913432115,218095.9035691915,0.9805349188198473,0.9906162714850424,0.255859375,0.54296875,0.4029915506378345,0.404296875,0.03836546229409474,0.001471908697039605,4.31964483369193,0.0032,18,0.010666666666666666,6,2.3012371739361956,0.02396510949747164,2.856107645569521,0.9708211807910897
20200425_153000.WAV,1805.8461803901275,149.0690453596827,156.8011736885462,150.48718169917728,149.72788303723274,2.005274213671754,4.021124672016872,2.299832892718035,0.024604076579868028,5.18789026646221,0.2910391827554476,0.016690314302090517,0.09097003787369785,0.02260102276480738,0.022383678742009312,0.0022389626754528817,5.012953862071126e-06,6728.250232913506,13725.382976023924,8365.242313878336,8351.00355748089,500.018750674034,250018.75102562175,0.9489754241878019,0.9905651790190388,0.1328125,0.494140625,0.23703113887901148,0.236328125,0.030566841078021895,0.0009343317734890468,20.225766926447342,0.009777777777777778,52,0.011282051282051281,4,2.2993841716075316,0.04425070382335026,5.185141661407096,0.9429935278273152
20200302_053000.WAV,1806.4870377586578,149.61743362266668,152.09248862582064,150.54058647988816,150.4075707231638,0.7082063822656707,0.5015562798818293,2.2995836869699047,0.02344855381290891,2.651876535038922,0.34840968035517855,0.02916143844000186,0.08167824990710162,0.041595537917480975,0.040362763161540485,0.005314242458324554,2.8241172905859396e-05,8753.490150425936,15043.059308281669,10953.214599828143,10818.38767981851,764.7834675770584,584893.7522791895,0.9816602618995153,0.9901517327519511,0.26953125,0.68359375,0.4076707860143124,0.39453125,0.06128489748736732,0.003755838660037121,15.0952148741049,0.05031111111111111,178,0.01695880149812734,8,2.299797894944507,0.03644017458226791,3.545347522665128,0.9772865675291454
20200313_130000.WAV,1797.6270465574273,148.96488397552167,150.27937911575503,149.8022538797856,149.912057098451,0.4206850923567475,0.1769759469312052,2.3002942325969844,0.0229166630557053,2.1833716605402835,0.6437736698333485,0.04846402188820064,0.2393882236587373,0.0703288206086791,0.07006378906185338,0.005967652210610939,3.5612872906809623e-05,8245.021302198402,12908.080359442078,11162.413615417494,11165.001671974167,465.4772507291307,216669.07094635,0.9817800066219551,0.9905527072576421,0.181640625,0.5703125,0.4084114768534981,0.408203125,0.0382240883916207,0.001461080933370432,7.26027453918746,0.008888888888888889,41,0.013008130081300813,7,2.3005619569517792,0.03433121585793373,2.9036264418386595,0.970988745204855
20200308_033000.WAV,1818.9295625445484,149.56214597259427,155.1330622484876,151.57746354537906,150.11710892908474,2.1992705912642987,4.836791133600019,2.299975230544206,0.024201425303110646,2.2123055274966026,0.2808642518235371,0.03707907243672007,0.1689052310009156,0.056170789457888434,0.050859850067629865,0.017750809544148934,0.00031509123947264883,9320.383335221959,17005.570473372798,11623.791105705552,11303.056992801961,1204.0522486481548,1449741.817474678,0.9815675246407896,0.9879314822549956,0.296875,0.845703125,0.45336321561916615,0.427734375,0.0920439965123441,0.008472097293964413,11.975304546093351,0.11448888888888889,124,0.055397849462365596,10,2.2998129122424587,0.039663179057354545,4.68740316617497,0.9694634502601733
20200402_030000.WAV,1863.1583737995688,151.25582303706852,160.818399418493,155.26319781663074,153.14837050572243,3.511258280511159,12.32893471245818,2.28628656481589,0.10210299840745858,3.3864727106504477,0.18991440225452616,0.01020159770099879,0.19396546821406374,0.029410155629156085,0.01840375178569332,0.02920561383239459,0.0008529678793269582,7689.521305772121,19765.637983093267,11858.331205835693,10765.255379873946,2961.158550969876,8768459.963982018,0.9496292836076503,0.9697086407091202,0.158203125,0.888671875,0.4714849653302516,0.40234375,0.19829473736620687,0.03932080286713296,23.415023527544317,0.40071111111111113,365,0.06587031963470319,9,2.2370169552682797,0.2047913829392103,3.5670976397478515,0.8983834965214099
